Id,No,Major,Course,Score,Credit
15578,246,0,10,90.0,2.0
15579,411,2,6,70.0,4.0
15580,273,1,56,82.0,3.5
15581,301,1,167,85.0,0.5
15582,253,1,107,80.0,1.0
15583,116,0,135,88.0,1.0
15584,312,1,7,76.0,6.0
15585,384,2,50,78.0,4.0
15586,14,0,25,72.0,3
15587,207,0,40,84.0,1.0
15588,226,0,6,77.0,4.0
15589,140,0,20,27.0,4.0
15590,320,1,48,70.0,6.0
15591,227,0,24,70.0,1.0
15592,273,1,166,90.0,1.0
15593,109,0,45,60.0,3.0
15594,33,0,56,87.0,3.5
15595,373,2,188,87.0,3.0
15596,353,2,73,79.0,0.5
15597,227,0,55,60.0,2.0
15598,303,1,37,90.0,2.0
15599,35,0,7,82.0,6.0
15600,464,2,49,85.0,1.0
15601,362,2,40,93.0,1.0
15602,332,1,54,90.0,2.0
15603,285,1,52,78.0,1.0
15604,48,0,40,88.0,1.0
15605,170,0,47,76.0,3.0
15606,453,2,59,94.0,1.0
15607,159,0,43,85.0,3.0
15608,415,2,3,73.0,2.0
15609,184,0,42,61.0,1.0
15610,366,2,114,82.0,3.0
15611,475,2,29,91.0,3.0
15612,218,0,58,76.0,2.0
15613,59,0,58,85.0,2.0
15614,259,1,127,88.0,3.0
15615,258,1,6,71.0,4.0
15616,304,1,25,94.0,3.0
15617,236,0,9,67.0,4.5
15618,12,0,22,69.0,2.0
15619,190,0,131,87.0,2.5
15620,46,0,1,74.6,4.0
15621,47,0,38,94.0,2.0
15622,370,2,20,27.0,4.0
15623,318,1,51,80.0,2.0
15624,456,2,9,63.0,4.5
15625,353,2,58,89.0,2.0
15626,237,0,130,84.0,2.5
15627,119,0,23,70.0,2.0
15628,28,0,16,80.0,4.5
15629,116,0,58,70.0,2.0
15630,404,2,23,83.0,2.0
15631,334,1,0,93.0,3.0
15632,205,0,58,74.0,2.0
15633,478,2,17,74.0,4.0
15634,59,0,28,86.0,1.0
15635,455,2,31,90.0,1.0
15636,248,0,22,70.0,2.0
15637,41,0,58,80.0,2.0
15638,473,2,195,83.0,2.0
15639,16,0,29,93.0,3.0
15640,70,0,0,0.0,3.0
15641,311,1,172,80.0,2.0
15642,286,1,109,82.0,3.0
15643,262,1,157,93.0,1.0
15644,43,0,7,18.0,6.0
15645,136,0,8,81.0,6.0
15646,264,1,28,84.0,1.0
15647,243,0,52,74.0,1.0
15648,159,0,45,73.0,3.0
15649,59,0,114,68.0,3.0
15650,57,0,11,96.0,1.0
15651,209,0,21,81.0,1.0
15652,4,0,31,95.0,1.0
15653,85,0,51,87.0,2.0
15654,219,0,14,65.0,3.0
15655,287,1,45,66.0,3.0
15656,144,0,20,73.0,4.0
15657,412,2,42,75.0,1.0
15658,84,0,46,88.0,2.0
15659,425,2,32,93.0,8.0
15660,240,0,52,62.0,1.0
15661,216,0,13,80.0,2.0
15662,42,0,51,79.0,2.0
15663,108,0,45,38.0,3.0
15664,380,2,51,82.0,2.0
15665,72,0,18,93.0,2.5
15666,91,0,1,64.0,4.0
15667,43,0,42,82.0,1.0
15668,344,2,46,85.0,2.0
15669,291,1,49,86.0,1.0
15670,224,0,2,88.0,1.0
15671,43,0,28,87.0,1.0
15672,435,2,19,76.0,3.0
15673,435,2,39,49.0,1.0
15674,385,2,15,86.0,3.5
15675,400,2,7,62.0,6.0
15676,281,1,16,78.0,4.5
15677,245,0,46,80.0,2.0
15678,266,1,171,88.0,2.0
15679,383,2,52,87.0,1.0
15680,344,2,55,80.0,2.0
15681,145,0,35,72.0,4.0
15682,342,1,105,90.0,3.0
15683,448,2,29,88.0,3.0
15684,322,1,146,72.0,3.0
15685,129,0,54,90.0,2.0
15686,82,0,105,85.0,3.0
15687,126,0,55,82.0,2.0
15688,121,0,48,94.0,6.0
15689,184,0,56,67.0,3.5
15690,142,0,28,80.0,1.0
15691,206,0,112,71.0,3.0
15692,41,0,49,85.0,1.0
15693,355,2,20,90.0,4.0
15694,73,0,7,86.0,6.0
15695,156,0,130,88.0,2.5
15696,409,2,15,43.0,3.5
15697,355,2,32,93.0,8.0
15698,70,0,51,84.0,2.0
15699,282,1,50,80.0,4.0
15700,453,2,43,91.0,3.0
15701,214,0,56,72.0,3.5
15702,244,0,52,50.0,1.0
15703,7,0,42,77.0,1.0
15704,178,0,9,60.0,4.5
15705,436,2,50,79.0,4.0
15706,210,0,7,87.0,6.0
15707,405,2,30,85.0,1.0
15708,260,1,30,60.0,1.0
15709,94,0,58,70.0,2.0
15710,97,0,28,87.0,1.0
15711,240,0,13,75.0,2.0
15712,240,0,26,85.0,1.0
15713,179,0,15,62.0,3.5
15714,280,1,3,75.0,2.0
15715,29,0,12,79.0,1.0
15716,214,0,32,95.0,8.0
15717,245,0,30,92.0,1.0
15718,188,0,132,91.0,2.5
15719,379,2,22,71.0,2.0
15720,241,0,28,78.0,1.0
15721,387,2,26,84.0,1.0
15722,76,0,52,87.0,1.0
15723,107,0,58,77.0,2.0
15724,375,2,16,88.0,4.5
15725,256,1,51,83.0,2.0
15726,4,0,58,63.0,2.0
15727,422,2,114,79.0,3.0
15728,87,0,122,64.0,2.5
15729,427,2,28,88.0,1.0
15730,406,2,58,76.0,2.0
15731,1,0,32,97.0,8.0
15732,65,0,56,77.0,3.5
15733,367,2,28,96.0,1.0
15734,275,1,25,83.0,3
15735,87,0,55,77.0,2.0
15736,265,1,36,85.0,4.0
15737,489,2,46,90.0,2.0
15738,468,2,54,80.0,2.0
15739,438,2,35,87.0,4.0
15740,63,0,8,71.0,6.0
15741,206,0,56,38.0,3.5
15742,92,0,111,74.0,2.5
15743,480,2,13,81.0,2.0
15744,453,2,190,92.0,3.0
15745,179,0,11,74.0,1.0
15746,486,2,36,86.0,4.0
15747,190,0,8,91.0,6.0
15748,484,2,189,100.0,3.0
15749,454,2,29,96.0,3.0
15750,274,1,165,78.0,3.0
15751,200,0,53,76.0,3.0
15752,65,0,21,70.0,1.0
15753,206,0,50,75.0,4.0
15754,426,2,200,78.0,3.0
15755,299,1,37,91.0,2.0
15756,248,0,53,76.0,3.0
15757,106,0,37,66.0,2.0
15758,481,2,12,88.0,1.0
15759,251,0,8,78.0,6.0
15760,423,2,55,66.0,2.0
15761,381,2,189,98.0,3.0
15762,386,2,7,77.0,6.0
15763,118,0,20,23.0,4.0
15764,141,0,16,90.0,4.5
15765,204,0,21,82.0,1.0
15766,473,2,31,90.0,1.0
15767,248,0,55,69.0,2.0
15768,332,1,168,84.0,2.0
15769,336,1,163,60.0,3.5
15770,132,0,5,91.0,3.0
15771,52,0,51,63.0,2.0
15772,131,0,110,42.0,3.5
15773,340,1,58,71.0,2.0
15774,315,1,13,83.0,2.0
15775,138,0,16,82.0,4.5
15776,145,0,17,72.0,4.0
15777,306,1,105,91.0,3.0
15778,118,0,51,87.0,2.0
15779,80,0,0,66.0,3.0
15780,264,1,165,91.0,3.0
15781,239,0,135,85.0,1.0
15782,418,2,21,80.0,1.0
15783,223,0,125,72.0,1.0
15784,202,0,39,0.0,1.0
15785,475,2,187,81.0,0.5
15786,426,2,10,79.0,2.0
15787,216,0,48,85.0,6.0
15788,266,1,51,78.0,2.0
15789,75,0,1,74.0,4.0
15790,271,1,11,60.0,1.0
15791,400,2,11,70.0,1.0
15792,179,0,49,80.0,1.0
15793,184,0,5,68.0,3.0
15794,337,1,157,77.0,1.0
15795,455,2,6,67.0,4.0
15796,470,2,194,63.0,2.0
15797,239,0,10,72.0,2.0
15798,446,2,32,94.0,8.0
15799,283,1,3,77.0,2.0
15800,384,2,52,91.0,1.0
15801,51,0,39,77.0,1.0
15802,182,0,30,66.0,1.0
15803,454,2,48,91.0,6.0
15804,25,0,1,60.0,4.0
15805,240,0,3,74.0,2.0
15806,92,0,55,79.0,2.0
15807,159,0,56,68.0,3.5
15808,2,0,65,85.0,1.0
15809,440,2,31,95.0,1.0
15810,230,0,23,76.0,2.0
15811,411,2,36,78.0,4.0
15812,466,2,191,76.0,3.0
15813,248,0,20,72.0,4.0
15814,200,0,19,62.0,3.0
15815,317,1,164,86.0,2.0
15816,250,0,30,77.0,1.0
15817,77,0,17,56.0,4.0
15818,115,0,35,52.0,4.0
15819,2,0,102,93.0,2.0
15820,324,1,59,90.0,1.0
15821,483,2,51,66.0,2.0
15822,256,1,146,77.0,3.0
15823,246,0,17,76.0,4.0
15824,422,2,11,70.0,1.0
15825,283,1,29,72.0,3.0
15826,122,0,48,76.0,6.0
15827,448,2,36,85.0,4.0
15828,352,2,59,87.0,1.0
15829,249,0,127,52.0,3.0
15830,381,2,52,82.0,1.0
15831,316,1,16,85.0,4.5
15832,413,2,43,76.0,3.0
15833,97,0,20,70.0,4.0
15834,470,2,24,87.0,1.0
15835,54,0,53,62.0,3.0
15836,282,1,31,95.0,1.0
15837,86,0,58,57.0,2.0
15838,40,0,38,84.0,2.0
15839,329,1,28,71.0,1.0
15840,394,2,32,78.0,8.0
15841,11,0,24,92.0,1.0
15842,83,0,17,69.0,4.0
15843,146,0,7,93.0,6.0
15844,370,2,48,78.0,6.0
15845,270,1,25,74.0,3
15846,141,0,54,80.0,2.0
15847,451,2,105,48.0,3.0
15848,23,0,43,67.0,3.0
15849,194,0,51,79.0,2.0
15850,161,0,40,84.0,1.0
15851,293,1,50,80.0,4.0
15852,18,0,46,92.0,2.0
15853,126,0,110,69.0,3.5
15854,213,0,123,60.0,2.5
15855,241,0,56,64.0,3.5
15856,379,2,188,81.0,3.0
15857,163,0,22,72.0,2.0
15858,15,0,53,71.0,3.0
15859,470,2,40,84.0,1.0
15860,359,2,16,90.0,4.5
15861,396,2,7,82.0,6.0
15862,44,0,53,71.0,3.0
15863,429,2,12,91.0,1.0
15864,231,0,105,71.0,3.0
15865,392,2,24,99.0,1.0
15866,472,2,9,79.0,4.5
15867,468,2,32,88.0,8.0
15868,88,0,5,79.0,3.0
15869,68,0,29,79.0,3.0
15870,389,2,73,77.0,0.5
15871,205,0,9,69.0,4.5
15872,189,0,54,80.0,2.0
15873,382,2,109,83.0,3.0
15874,199,0,54,90.0,2.0
15875,60,0,115,86.0,1.0
15876,446,2,1,71.0,4.0
15877,438,2,32,90.0,8.0
15878,482,2,188,77.0,3.0
15879,124,0,36,73.0,4.0
15880,257,1,36,81.0,4.0
15881,405,2,21,88.0,1.0
15882,174,0,20,70.0,4.0
15883,343,1,56,74.0,3.5
15884,477,2,5,66.0,3.0
15885,268,1,7,85.0,6.0
15886,117,0,41,38.0,1.0
15887,106,0,131,83.0,2.5
15888,35,0,115,87.0,1.0
15889,240,0,16,54.0,4.5
15890,34,0,39,68.0,1.0
15891,89,0,114,80.0,3.0
15892,427,2,77,74.0,4.0
15893,223,0,40,89.0,1.0
15894,405,2,50,76.0,4.0
15895,351,2,57,69.0,3.0
15896,153,0,31,90.0,1.0
15897,384,2,23,90.0,2.0
15898,36,0,116,89.0,2
15899,391,2,36,83.0,4.0
15900,400,2,45,60.0,3.0
15901,173,0,19,84.0,3.0
15902,316,1,37,90.0,2.0
15903,402,2,9,78.0,4.5
15904,478,2,40,90.0,1.0
15905,151,0,36,75.0,4.0
15906,461,2,12,88.0,1.0
15907,218,0,110,73.0,3.5
15908,489,2,52,80.0,1.0
15909,410,2,192,84.0,2.0
15910,321,1,127,66.0,3.0
15911,358,2,7,92.0,6.0
15912,133,0,25,90.0,3.0
15913,262,1,168,87.0,2.0
15914,350,2,12,83.0,1.0
15915,322,1,168,81.0,2.0
15916,389,2,187,81.0,0.5
15917,420,2,24,97.0,1.0
15918,223,0,31,95.0,1.0
15919,187,0,50,70.0,4.0
15920,291,1,109,70.0,3.0
15921,134,0,5,85.0,3.0
15922,405,2,22,85.0,2.0
15923,367,2,9,87.0,4.5
15924,356,2,25,98.0,3.0
15925,329,1,46,90.0,2.0
15926,74,0,58,71.0,2.0
15927,54,0,37,85.0,2.0
15928,29,0,17,68.0,4.0
15929,158,0,23,75.0,2.0
15930,433,2,200,75.0,3.0
15931,269,1,13,77.0,2.0
15932,446,2,35,74.0,4.0
15933,53,0,19,70.0,3.0
15934,131,0,116,92.0,2.0
15935,14,0,24,92.0,1.0
15936,457,2,30,81.0,1.0
15937,136,0,127,87.0,3.0
15938,395,2,21,93.0,1.0
15939,115,0,27,95.0,2.0
15940,233,0,25,73.0,3.0
15941,52,0,7,88.0,6.0
15942,177,0,35,46.0,4.0
15943,345,2,36,86.0,4.0
15944,332,1,37,86.0,2.0
15945,434,2,3,65.0,2.0
15946,148,0,28,90.0,1.0
15947,382,2,9,85.0,4.5
15948,82,0,55,63.0,2.0
15949,45,0,32,92.0,8.0
15950,141,0,28,94.0,1.0
15951,483,2,31,90.0,1.0
15952,159,0,37,78.0,2.0
15953,317,1,172,72.0,2.0
15954,418,2,48,72.0,6.0
15955,111,0,37,64.0,2.0
15956,346,2,9,70.0,4.5
15957,357,2,49,83.0,1.0
15958,92,0,52,90.0,1.0
15959,79,0,21,86.0,1.0
15960,429,2,50,78.0,4.0
15961,142,0,3,77.0,2.0
15962,86,0,19,72.0,3.0
15963,305,1,109,65.0,3.0
15964,228,0,10,67.0,2.0
15965,410,2,15,68.0,3.5
15966,340,1,182,82.0,2.0
15967,81,0,19,78.0,3.0
15968,358,2,48,99.0,6.0
15969,405,2,189,99.0,3.0
15970,317,1,26,85.0,1.0
15971,119,0,19,82.0,3.0
15972,76,0,20,83.0,4.0
15973,353,2,1,79.0,4.0
15974,439,2,24,98.0,1.0
15975,51,0,5,65.0,3.0
15976,358,2,32,90.0,8.0
15977,313,1,146,69.0,3.0
15978,450,2,59,87.0,1.0
15979,347,2,59,83.0,1.0
15980,364,2,26,72.0,1.0
15981,485,2,51,86.0,2.0
15982,396,2,54,88.0,2.0
15983,379,2,16,80.0,4.5
15984,275,1,8,82.0,6.0
15985,382,2,22,92.0,2.0
15986,112,0,29,96.0,3.0
15987,117,0,113,77.0,2.5
15988,352,2,19,79.0,3.0
15989,327,1,46,81.0,2.0
15990,248,0,48,79.0,6.0
15991,183,0,2,93.0,1.0
15992,166,0,37,90.0,2.0
15993,331,1,58,87.0,2.0
15994,313,1,17,62.0,4.0
15995,395,2,45,80.0,3.0
15996,226,0,53,83.0,3.0
15997,173,0,109,72.0,3.0
15998,152,0,57,66.0,3.0
15999,102,0,40,91.0,1.0
16000,349,2,17,69.0,4.0
16001,346,2,53,75.0,3.0
16002,72,0,34,94.0,2.5
16003,419,2,16,82.0,4.5
16004,311,1,46,89.0,2.0
16005,39,0,31,100.0,1.0
16006,401,2,3,72.0,2.0
16007,171,0,26,85.0,1.0
16008,250,0,17,70.0,4.0
16009,114,0,50,85.0,4.0
16010,11,0,20,44.0,4.0
16011,295,1,46,90.0,2.0
16012,129,0,16,85.0,4.5
16013,453,2,109,88.0,3.0
16014,408,2,31,95.0,1.0
16015,225,0,111,90.0,2.5
16016,353,2,77,87.0,4.0
16017,231,0,54,90.0,2.0
16018,438,2,39,82.0,1.0
16019,165,0,19,70.0,3.0
16020,212,0,46,95.0,2.0
16021,20,0,11,90.0,1.0
16022,258,1,43,80.0,3.0
16023,163,0,136,90.0,1.0
16024,171,0,22,72.0,2.0
16025,75,0,18,88.0,2.5
16026,19,0,8,70.0,6.0
16027,421,2,20,88.0,4.0
16028,167,0,136,90.0,1.0
16029,458,2,42,73.0,1.0
16030,255,1,11,81.0,1.0
16031,49,0,8,67.0,6.0
16032,10,0,118,80.0,3.0
16033,173,0,48,67.0,6.0
16034,406,2,59,90.0,1.0
16035,475,2,48,70.0,6.0
16036,406,2,55,69.0,2.0
16037,318,1,43,81.0,3.0
16038,176,0,5,71.0,3.0
16039,447,2,54,85.0,2.0
16040,176,0,12,81.0,1.0
16041,444,2,45,43.0,3.0
16042,86,0,47,64.0,3.0
16043,204,0,32,89.0,8.0
16044,301,1,113,80.0,2.5
16045,154,0,25,54.0,3.0
16046,328,1,113,65.0,2.5
16047,292,1,42,78.0,1.0
16048,244,0,3,73.0,2.0
16049,435,2,187,81.0,0.5
16050,5,0,48,68.0,6.0
16051,334,1,157,85.0,1.0
16052,361,2,35,70.0,4.0
16053,260,1,161,66.0,2.0
16054,449,2,57,63.0,3.0
16055,254,1,107,80.0,1.0
16056,266,1,11,73.0,1.0
16057,269,1,24,96.0,1.0
16058,250,0,39,81.0,1.0
16059,317,1,113,78.0,2.5
16060,15,0,49,95.0,1.0
16061,361,2,46,85.0,2.0
16062,379,2,73,74.0,0.5
16063,345,2,29,72.0,3.0
16064,37,0,28,72.0,1.0
16065,285,1,165,69.0,3.0
16066,162,0,129,82.0,2.5
16067,438,2,1,69.0,4.0
16068,393,2,109,96.0,3.0
16069,459,2,2,80.0,1.0
16070,404,2,39,82.0,1.0
16071,9,0,115,88.0,1.0
16072,271,1,1,63.0,4.0
16073,64,0,26,60.0,1.0
16074,46,0,23,76.2,2.0
16075,375,2,17,76.0,4.0
16076,321,1,3,76.0,2.0
16077,408,2,22,76.0,2.0
16078,248,0,19,81.0,3.0
16079,159,0,58,77.0,2.0
16080,379,2,57,71.0,3.0
16081,424,2,30,72.0,1.0
16082,77,0,31,95.0,1.0
16083,416,2,188,79.0,3.0
16084,16,0,32,91.0,8.0
16085,108,0,8,77.0,6.0
16086,30,0,111,76.0,2.5
16087,330,1,8,61.0,6.0
16088,293,1,45,78.0,3.0
16089,406,2,53,87.0,3.0
16090,7,0,123,70.0,2.5
16091,264,1,6,77.0,4.0
16092,407,2,50,78.0,4.0
16093,141,0,29,96.0,3.0
16094,489,2,25,82.0,3.0
16095,369,2,114,71.0,3.0
16096,214,0,29,97.0,3.0
16097,90,0,46,95.0,2.0
16098,285,1,116,87.0,2.0
16099,384,2,20,83.0,4.0
16100,292,1,35,86.0,4.0
16101,136,0,7,80.0,6.0
16102,218,0,10,67.0,2.0
16103,471,2,188,77.0,3.0
16104,286,1,43,67.0,3.0
16105,174,0,43,69.0,3.0
16106,479,2,189,100.0,3.0
16107,29,0,48,70.0,6.0
16108,205,0,19,70.0,3.0
16109,357,2,9,70.0,4.5
16110,41,0,24,100.0,1.0
16111,240,0,119,65.0,3.0
16112,407,2,105,95.0,3.0
16113,191,0,20,69.0,4.0
16114,222,0,46,90.0,2.0
16115,447,2,42,70.0,1.0
16116,479,2,43,74.0,3.0
16117,15,0,5,75.0,3.0
16118,163,0,132,69.0,2.5
16119,216,0,55,84.0,2.0
16120,214,0,18,92.0,2.5
16121,271,1,162,84.0,3.0
16122,34,0,11,89.0,1.0
16123,226,0,54,85.0,2.0
16124,134,0,125,88.0,1.0
16125,12,0,29,90.0,3.0
16126,111,0,54,80.0,2.0
16127,39,0,7,95.0,6.0
16128,232,0,29,99.0,3.0
16129,123,0,8,79.0,6.0
16130,72,0,36,85.0,4.0
16131,316,1,50,85.0,4.0
16132,283,1,165,88.0,3.0
16133,140,0,52,62.0,1.0
16134,242,0,13,81.0,2.0
16135,249,0,25,90.0,3.0
16136,284,1,26,64.0,1.0
16137,184,0,37,64.0,2.0
16138,112,0,20,36.0,4.0
16139,421,2,51,82.0,2.0
16140,353,2,48,95.0,6.0
16141,212,0,32,93.0,8.0
16142,492,2,58,86.0,2.0
16143,217,0,12,73.0,1.0
16144,101,0,14,78.0,3.0
16145,249,0,42,77.0,1.0
16146,285,1,31,90.0,1.0
16147,199,0,105,88.0,3.0
16148,372,2,48,92.0,6.0
16149,431,2,16,78.0,4.5
16150,176,0,45,35.0,3.0
16151,473,2,28,90.0,1.0
16152,367,2,21,96.0,1.0
16153,143,0,12,88.0,1.0
16154,139,0,50,65.0,4.0
16155,337,1,23,77.0,2.0
16156,22,0,13,83.0,2.0
16157,399,2,16,83.0,4.5
16158,5,0,32,83.0,8.0
16159,344,2,187,81.0,0.5
16160,171,0,24,75.0,1.0
16161,285,1,22,78.0,2.0
16162,233,0,53,76.0,3.0
16163,102,0,5,69.0,3.0
16164,94,0,27,86.0,2.0
16165,66,0,33,83.0,2.0
16166,25,0,39,66.0,1.0
16167,106,0,136,83.0,1.0
16168,362,2,7,83.0,6.0
16169,411,2,2,78.0,1.0
16170,445,2,40,82.0,1.0
16171,331,1,21,80.0,1.0
16172,73,0,38,65.0,2.0
16173,269,1,166,90.0,1.0
16174,444,2,13,78.0,2.0
16175,410,2,54,86.0,2.0
16176,250,0,48,87.0,6.0
16177,279,1,43,70.0,3.0
16178,397,2,19,84.0,3.0
16179,358,2,12,84.0,1.0
16180,11,0,22,71.0,2.0
16181,440,2,192,74.0,2.0
16182,21,0,52,83.0,1.0
16183,88,0,13,86.0,2.0
16184,37,0,51,62.0,2.0
16185,385,2,105,84.0,3.0
16186,166,0,4,87.0,2.0
16187,106,0,48,76.0,6.0
16188,400,2,5,87.0,3.0
16189,202,0,10,75.0,2.0
16190,126,0,56,66.0,3.5
16191,207,0,127,47.0,3.0
16192,208,0,3,84.0,2.0
16193,106,0,13,74.0,2.0
16194,431,2,17,70.0,4.0
16195,196,0,126,88.0,2.5
16196,479,2,20,85.0,4.0
16197,76,0,1,90.0,4.0
16198,32,0,42,81.0,1.0
16199,196,0,113,44.0,2.5
16200,158,0,43,76.0,3.0
16201,259,1,17,70.0,4.0
16202,192,0,37,78.0,2.0
16203,188,0,125,71.0,1.0
16204,174,0,9,64.0,4.5
16205,222,0,133,91.0,2.5
16206,329,1,161,61.0,2.0
16207,116,0,134,82.0,2.5
16208,327,1,11,0.0,1.0
16209,472,2,191,84.0,3.0
16210,186,0,6,79.0,4.0
16211,159,0,16,90.0,4.5
16212,446,2,7,75.0,6.0
16213,267,1,105,93.0,3.0
16214,272,1,0,78.0,3.0
16215,369,2,16,70.0,4.5
16216,49,0,52,79.0,1.0
16217,122,0,16,70.0,4.5
16218,354,2,16,78.0,4.5
16219,369,2,29,87.0,3.0
16220,156,0,53,72.0,3.0
16221,130,0,50,75.0,4.0
16222,299,1,8,71.0,6.0
16223,184,0,46,90.0,2.0
16224,156,0,58,72.0,2.0
16225,425,2,36,82.0,4.0
16226,26,0,50,73.0,4.0
16227,374,2,43,60.0,3.0
16228,354,2,109,75.0,3.0
16229,42,0,32,93.0,8.0
16230,143,0,18,82.0,2.5
16231,383,2,31,95.0,1.0
16232,44,0,43,62.0,3.0
16233,49,0,39,70.0,1.0
16234,219,0,26,70.0,1.0
16235,132,0,35,87.0,4.0
16236,309,1,25,92.0,3.0
16237,363,2,13,92.0,2.0
16238,154,0,23,74.0,2.0
16239,457,2,50,79.0,4.0
16240,457,2,43,82.0,3.0
16241,255,1,19,73.0,3.0
16242,377,2,40,93.0,1.0
16243,108,0,17,63.0,4.0
16244,165,0,52,71.0,1.0
16245,175,0,42,63.0,1.0
16246,178,0,46,93.0,2.0
16247,356,2,22,81.0,2.0
16248,478,2,54,90.0,2.0
16249,112,0,21,82.0,1.0
16250,150,0,44,77.0,2.5
16251,130,0,22,85.0,2.0
16252,441,2,48,92.0,6.0
16253,367,2,54,89.0,2.0
16254,362,2,1,67.0,4.0
16255,433,2,35,84.0,4.0
16256,331,1,10,83.0,2.0
16257,234,0,52,87.0,1.0
16258,122,0,123,0.0,2.5
16259,426,2,109,80.0,3.0
16260,84,0,39,63.0,1.0
16261,128,0,125,75.0,1.0
16262,411,2,9,81.0,4.5
16263,270,1,0,0.0,3.0
16264,319,1,165,73.0,3.0
16265,343,1,146,61.0,3.0
16266,296,1,12,85.0,1.0
16267,360,2,13,85.0,2.0
16268,343,1,163,20.0,3.5
16269,111,0,129,79.0,2.5
16270,101,0,12,88.0,1.0
16271,216,0,59,86.0,1.0
16272,376,2,51,91.0,2.0
16273,329,1,172,82.0,2.0
16274,236,0,16,63.0,4.5
16275,65,0,7,82.0,6.0
16276,141,0,9,78.0,4.5
16277,479,2,58,80.0,2.0
16278,437,2,189,100.0,3.0
16279,69,0,19,84.0,3.0
16280,58,0,38,92.0,2.0
16281,127,0,26,85.0,1.0
16282,356,2,23,82.0,2.0
16283,31,0,9,66.0,4.5
16284,484,2,54,85.0,2.0
16285,324,1,26,85.0,1.0
16286,24,0,3,70.0,2.0
16287,299,1,167,85.0,0.5
16288,386,2,52,76.0,1.0
16289,180,0,17,67.0,4.0
16290,243,0,32,94.0,8.0
16291,170,0,18,89.0,2.5
16292,3,0,53,65.0,3.0
16293,62,0,5,80.0,3.0
16294,69,0,28,92.0,1.0
16295,299,1,166,93.0,1.0
16296,86,0,46,90.0,2.0
16297,276,1,51,83.0,2.0
16298,354,2,191,80.0,3.0
16299,27,0,13,80.0,2.0
16300,288,1,20,62.0,4.0
16301,302,1,49,74.0,1.0
16302,324,1,127,75.0,3.0
16303,301,1,52,78.0,1.0
16304,254,1,84,84.0,2.0
16305,473,2,189,99.0,3.0
16306,209,0,1,81.0,4.0
16307,213,0,41,0.0,1.0
16308,387,2,39,82.0,1.0
16309,324,1,36,85.0,4.0
16310,92,0,0,64.0,3.0
16311,237,0,26,75.0,1.0
16312,212,0,2,98.0,1.0
16313,389,2,57,74.0,3.0
16314,8,0,24,99.0,1.0
16315,216,0,5,80.0,3.0
16316,273,1,35,78.0,4.0
16317,302,1,6,60.0,4.0
16318,434,2,17,69.0,4.0
16319,441,2,54,80.0,2.0
16320,347,2,45,42.0,3.0
16321,89,0,5,66.0,3.0
16322,402,2,48,86.0,6.0
16323,91,0,6,64.0,4.0
16324,49,0,117,66.0,3.5
16325,241,0,17,71.0,4.0
16326,214,0,3,86.0,2.0
16327,418,2,13,77.0,2.0
16328,215,0,11,84.0,1.0
16329,97,0,30,75.0,1.0
16330,453,2,37,90.0,2.0
16331,412,2,21,71.0,1.0
16332,187,0,105,87.0,3.0
16333,307,1,109,75.0,3.0
16334,181,0,6,79.6,4.0
16335,153,0,21,68.0,1.0
16336,378,2,25,78.0,3.0
16337,251,0,21,85.0,1.0
16338,270,1,58,66.0,2.0
16339,396,2,28,88.0,1.0
16340,52,0,54,90.0,2.0
16341,183,0,3,78.0,2.0
16342,196,0,43,71.0,3.0
16343,490,2,55,68.0,2.0
16344,25,0,57,74.0,3.0
16345,317,1,46,90.0,2.0
16346,221,0,40,52.0,1.0
16347,223,0,26,80.0,1.0
16348,124,0,13,77.0,2.0
16349,91,0,105,82.0,3.0
16350,357,2,7,90.0,6.0
16351,97,0,12,85.0,1.0
16352,120,0,1,70.0,4.0
16353,51,0,45,74.0,3.0
16354,314,1,37,90.0,2.0
16355,265,1,51,88.0,2.0
16356,367,2,7,85.0,6.0
16357,133,0,10,75.0,2.0
16358,52,0,47,84.0,3.0
16359,129,0,36,83.0,4.0
16360,41,0,7,85.0,6.0
16361,456,2,54,80.0,2.0
16362,480,2,48,81.0,6.0
16363,260,1,9,66.0,4.5
16364,346,2,12,84.0,1.0
16365,277,1,49,80.0,1.0
16366,279,1,17,73.0,4.0
16367,396,2,10,70.0,2.0
16368,152,0,2,91.0,1.0
16369,279,1,7,83.0,6.0
16370,139,0,20,48.0,4.0
16371,410,2,35,90.0,4.0
16372,320,1,43,71.0,3.0
16373,407,2,28,99.0,1.0
16374,147,0,25,82.0,3.0
16375,201,0,25,84.0,3.0
16376,244,0,32,90.0,8.0
16377,40,0,58,82.0,2.0
16378,264,1,48,91.0,6.0
16379,452,2,57,85.0,3.0
16380,104,0,45,81.0,3.0
16381,102,0,13,71.0,2.0
16382,168,0,7,79.0,6.0
16383,296,1,43,85.0,3.0
16384,144,0,52,50.0,1.0
16385,227,0,115,80.0,1.0
16386,18,0,30,87.0,1.0
16387,372,2,59,83.0,1.0
16388,35,0,16,80.0,4.5
16389,11,0,11,80.0,1.0
16390,6,0,41,20.0,1.0
16391,109,0,26,85.0,1.0
16392,134,0,24,93.0,1.0
16393,48,0,16,80.0,4.5
16394,394,2,8,62.0,6.0
16395,343,1,51,66.0,2.0
16396,73,0,36,79.0,4.0
16397,215,0,42,65.0,1.0
16398,242,0,30,49.0,1.0
16399,66,0,51,79.0,2.0
